1
100 10000 10000
78 87 200 990
28 53 132 992
53 63 129 991
77 80 75 999
79 91 237 991
6 31 242 991
16 38 169 1000
3 13 128 994
95 88 233 997
60 26 18 998
5 74 110 991
92 82 36 994
10 73 193 994
41 20 48 997
23 21 122 995
51 50 53 992
80 46 112 993
60 26 136 990
52 22 244 1000
16 38 69 999
27 69 142 992
93 42 191 1000
84 62 127 993
41 20 25 993
85 47 223 998
8 43 81 992
5 74 99 996
13 29 52 991
31 15 45 999
33 10 45 1000
46 49 202 993
44 95 34 990
12 60 118 993
58 30 163 1000
82 51 47 996
11 61 182 997
30 37 35 991
15 65 120 992
5 74 21 995
66 77 206 990
28 53 172 993
47 16 91 994
22 41 20 992
91 32 54 998
47 16 208 994
34 64 53 994
68 66 77 994
88 33 90 995
9 28 68 998
13 29 139 990
76 75 220 991
8 43 67 994
39 44 166 992
78 87 35 995
9 28 229 995
77 80 179 992
78 87 175 995
16 38 23 996
49 2 196 992
98 92 43 992
1 68 57 998
24 9 180 995
89 83 68 996
44 95 136 990
2 34 247 995
43 17 38 1000
36 94 107 1000
10 73 48 998
22 41 169 995
6 31 132 994
41 20 6 992
27 69 71 990
38 67 148 991
56 36 131 993
65 45 2 997
95 88 182 997
11 61 108 997
80 46 180 997
30 37 55 992
95 88 222 994
12 60 235 994
12 60 116 999
33 10 179 1000
9 28 134 999
79 91 248 999
21 40 178 996
56 36 246 998
90 39 77 992
53 63 186 999
90 39 63 992
30 37 153 991
33 10 163 999
47 16 234 995
31 15 189 991
36 94 45 995
91 32 27 997
14 97 178 994
41 20 216 999
84 62 126 997
87 57 80 994
31 15 56 999
34 64 99 994
52 22 226 991
80 46 154 997
45 14 103 996
70 99 236 999
41 20 99 1000
93 42 32 995
52 22 30 992
31 15 201 991
9 28 104 993
53 63 9 998
88 33 98 993
63 93 125 990
69 12 184 999
48 11 11 994
43 17 218 1000
85 47 33 997
15 65 116 991
76 75 182 996
57 96 108 990
44 95 136 991
12 60 93 998
43 17 171 998
68 66 129 999
76 75 138 1000
96 70 189 998
36 94 104 999
67 25 241 997
69 12 14 992
87 57 243 992
86 85 247 999
35 58 177 996
33 10 105 992
52 22 241 990
15 65 96 1000
39 44 73 993
62 8 100 990
66 77 116 991
58 30 142 999
75 84 250 990
87 57 1 997
75 84 99 995
10 73 56 993
63 93 151 993
44 95 212 996
23 21 31 998
4 90 159 997
44 95 126 999
3 13 208 995
92 82 213 999
47 16 209 997
26 24 158 999
38 67 58 993
28 53 35 997
43 17 62 997
88 33 241 991
99 81 101 998
19 56 103 996
78 87 144 992
94 54 11 998
36 94 118 1000
6 31 207 992
75 84 34 996
91 32 228 996
76 75 107 995
33 10 150 992
56 36 155 991
77 80 247 998
28 53 9 991
9 28 154 993
96 70 112 992
78 87 24 996
69 12 127 996
43 17 249 994
82 51 85 999
40 6 206 1000
14 97 181 995
31 15 184 997
82 51 232 993
10 73 149 990
87 57 86 998
90 39 15 998
69 12 55 991
52 22 1 999
84 62 145 990
8 43 27 1000
31 15 14 990
82 51 98 996
45 14 39 990
30 37 47 992
40 6 60 996
7 59 26 995
76 75 86 998
82 51 46 995
98 92 89 995
47 16 223 991
76 75 249 990
15 65 29 995
94 54 90 994
74 23 197 995
21 40 173 999
68 66 59 992
42 89 219 998
46 49 178 997
41 20 153 998
86 85 145 999
21 40 107 999
83 76 9 1000
73 98 87 994
6 31 71 990
88 33 235 991
9 28 153 1000
19 56 152 998
21 40 188 1000
36 94 201 993
28 82 73 3
3 13 99 994
20 3 124 999
63 93 135 993
23 21 195 994
45 14 133 990
64 18 103 998
46 49 61 991
15 65 119 992
42 89 16 993
11 61 210 998
80 46 42 991
18 27 6 992
74 23 207 995
93 42 234 997
19 56 86 994
57 96 182 995
30 37 165 992
57 96 191 995
21 40 181 994
38 67 96 991
16 38 222 997
75 84 174 993
63 93 214 995
8 43 246 1000
36 94 202 998
39 44 104 995
57 96 120 1000
55 100 249 999
62 8 39 992
39 44 27 992
89 83 249 994
18 27 22 999
66 77 147 996
86 85 172 993
77 80 105 999
44 95 218 992
79 91 106 997
63 93 1 995
42 89 176 992
38 67 117 993
52 22 200 993
83 76 36 1000
11 61 111 994
49 2 170 997
69 12 245 996
49 2 114 991
15 65 196 997
86 85 161 1000
67 25 34 990
43 17 154 991
30 37 54 998
22 41 238 995
52 22 72 999
90 39 222 991
96 70 182 994
74 23 123 991
13 29 165 996
13 29 22 997
79 91 157 997
53 63 119 993
80 46 85 1000
63 93 136 996
77 80 108 993
61 71 51 991
5 74 30 996
93 42 74 996
17 55 182 990
20 3 107 991
65 45 189 994
92 82 218 997
60 26 210 993
38 67 5 994
45 53 160 8
49 2 71 992
99 81 218 991
97 19 23 997
54 78 233 999
14 97 187 995
49 2 121 999
16 38 165 998
70 99 84 997
9 28 235 992
71 52 104 998
100 81 62 994
76 75 124 1000
92 82 16 992
79 91 237 993
95 88 236 994
9 28 145 990
43 17 166 990
86 85 89 990
51 50 35 991
13 29 36 991
50 72 190 996
39 44 181 992
59 5 34 998
3 13 215 997
67 25 68 997
10 73 75 994
73 98 221 1000
65 45 211 992
