430 430
303 237 629
377 138 796
355 358 564
88 32 195
119 92 69
66 351 368
64 285 679
313 75 749
392 429 372
150 48 442
194 328 305
28 61 760
90 184 35
149 204 260
187 302 36
95 251 138
81 281 64
200 87 21
252 257 528
81 148 684
314 353 732
324 10 157
220 91 87
45 183 850
19 61 642
62 402 832
137 83 348
69 196 606
107 161 429
326 222 255
137 146 361
294 32 99
117 400 269
359 142 859
385 110 139
293 285 499
16 392 658
262 368 451
361 276 189
327 106 802
327 261 655
58 340 567
97 381 496
50 108 448
382 344 443
277 116 226
64 189 374
261 278 137
299 323 158
45 394 683
48 333 587
144 36 178
200 60 454
164 426 155
3 106 214
211 334 422
316 425 741
237 344 43
100 61 697
153 408 645
251 139 388
395 160 687
361 144 776
45 118 356
131 344 474
122 42 287
172 421 399
162 49 144
52 388 113
26 60 824
295 412 275
386 154 355
307 3 240
118 243 553
159 415 532
317 144 132
217 139 37
396 321 180
35 271 335
75 144 839
70 103 187
45 146 633
208 26 452
302 290 614
256 142 440
337 370 710
193 113 593
369 162 695
350 339 810
326 251 114
84 201 165
177 169 30
64 244 181
348 241 236
285 90 321
240 112 632
55 56 4
398 173 8
418 371 618
337 153 514
80 213 10
140 87 489
122 395 784
281 380 290
13 201 91
46 386 47
288 356 713
87 309 774
190 223 29
251 258 131
96 337 526
220 112 521
136 271 728
2 257 119
190 116 646
86 235 744
281 41 844
16 426 38
186 210 216
61 422 167
389 173 818
130 234 681
202 369 725
379 145 338
406 369 524
231 129 326
280 158 175
147 304 27
236 300 812
236 10 522
136 133 780
314 113 283
314 14 459
380 360 396
142 238 174
117 417 85
13 105 436
283 104 247
103 126 310
229 202 67
149 270 212
332 364 365
401 378 179
264 252 397
416 143 762
185 12 49
193 114 79
261 312 104
337 356 136
292 92 217
310 53 332
319 272 848
371 213 340
22 232 277
91 114 286
323 355 484
162 19 584
295 30 210
88 131 184
308 165 349
393 412 416
44 107 667
307 152 473
12 353 382
405 70 414
415 298 656
237 208 376
192 158 311
30 29 78
177 228 357
46 183 627
220 70 164
21 257 294
108 314 752
412 222 571
370 400 705
305 51 383
105 281 413
224 23 192
415 398 345
428 330 504
332 230 302
279 95 404
403 290 558
298 420 426
286 425 841
2 289 346
49 299 353
22 394 851
418 382 740
358 195 671
187 95 588
6 144 723
296 172 829
317 150 390
415 411 861
118 411 591
40 232 439
131 72 441
312 304 820
121 304 766
428 207 536
294 253 133
90 160 24
215 279 77
350 148 359
79 391 273
131 15 745
306 1 206
44 394 378
385 115 580
120 12 207
283 6 89
215 9 86
125 332 329
28 398 751
398 395 512
314 389 176
251 62 222
206 291 331
265 1 621
155 36 763
167 303 150
63 265 652
68 211 786
42 1 604
64 395 407
307 249 586
418 195 369
178 156 111
32 405 312
319 159 257
381 162 291
162 74 154
143 139 540
167 416 16
159 194 659
280 415 90
356 278 59
125 340 611
130 48 846
19 405 186
257 216 800
90 123 417
411 143 816
78 275 640
378 26 250
336 252 128
28 428 737
354 229 463
172 34 301
255 117 855
276 135 835
97 194 546
331 166 168
367 268 68
65 179 770
130 300 384
415 87 837
410 214 612
355 325 599
279 324 805
184 108 464
102 318 699
277 40 300
236 237 410
151 155 336
154 86 39
226 405 323
184 319 218
72 350 651
129 243 308
287 163 409
169 400 262
299 315 572
391 224 319
266 195 256
11 264 709
244 55 162
140 324 595
212 271 437
192 307 491
422 184 274
321 185 438
339 26 511
320 308 676
153 326 704
402 153 347
391 239 768
117 214 367
23 7 649
413 172 7
350 67 389
84 375 758
57 334 314
342 304 666
390 65 418
24 126 707
93 416 431
219 118 224
396 420 798
104 148 583
163 252 203
352 303 664
69 54 134
54 251 170
384 251 495
305 249 328
400 361 243
65 81 58
32 58 239
316 103 691
252 294 545
54 241 727
130 183 715
134 270 194
94 237 351
37 312 391
1 225 339
166 397 334
322 381 220
158 119 670
287 290 693
48 332 557
171 101 185
305 89 42
100 16 857
64 320 118
354 391 765
339 93 2
91 9 453
250 151 480
156 294 120
301 166 703
22 112 343
182 24 74
124 49 787
80 205 648
88 121 581
378 33 547
189 41 527
417 236 230
416 422 5
139 289 730
77 175 734
261 351 688
113 353 779
59 178 807
408 105 350
206 264 1
108 137 159
318 257 622
417 193 124
108 311 444
315 187 135
327 402 288
267 101 756
357 413 425
237 97 630
228 102 825
274 389 559
124 45 228
59 388 754
410 299 759
319 294 62
39 348 628
229 15 19
243 212 554
297 373 608
121 395 549
345 307 272
376 95 469
93 261 188
383 272 465
286 2 241
73 106 563
160 223 102
400 366 804
77 237 377
346 338 748
223 397 650
321 313 610
102 82 327
184 314 446
17 82 313
119 24 833
212 409 840
299 386 456
165 161 344
259 398 75
167 116 11
366 55 689
76 364 769
182 361 96
221 404 235
315 212 771
142 30 285
290 307 615
359 85 585
157 363 620
161 304 576
2 365 129
359 348 161
425 366 146
88 115 267
246 395 778
187 382 455
161 231 432
183 210 772
106 175 153
414 49 92
156 373 34
153 369 711
86 183 493
96 357 246
68 13 518
121 215 501
244 301 253
422 415 265
19 377 140
262 258 790
272 386 663
167 160 362
412 64 755
355 317 529
267 73 261
334 40 149
19 153 486
387 259 25
399 156 80
